time,x_mm,y_mm,z_mm,u1,v1,u2,v2,r1,r2,a1,a2
2026-01-15T14:06:39,284.348,-117.366,685.812,718.048,790.065,393.887,920.223,0,0,5890,4564.5
2026-01-15T14:06:39,191.143,-81.4413,541.817,709.512,814.305,216.613,796.135,0,0,3599,2265.5
2026-01-15T14:06:39,336.693,-69.3611,593.234,750.328,794.516,490.141,725.037,0,0,2320,804.5
2026-01-15T14:06:39,396.832,-138.936,681.078,767.338,727.493,574.18,819.093,0,0,1094.5,353
2026-01-15T14:06:39,283.559,-98.19,651.917,750.947,807.955,374.848,890.557,0,0,2537,1141
2026-01-15T14:06:39,249.597,-101.456,525.022,940.52,768.639,199.349,831.737,0,0,1612.5,1971.5
2026-01-15T14:06:40,357.858,-149.214,667.211,929.647,748.951,385.909,957.792,0,0,2120.5,2231.5
2026-01-15T14:06:40,294.847,-158.027,690.568,763.778,739.589,381.039,943.119,0,0,1132,2044
2026-01-15T14:06:40,218.332,-111.973,489.824,757.203,737.945,260.95,717.588,0,0,607.5,336
2026-01-15T14:06:40,271.364,-156.49,682.414,755.548,740.065,340.764,948.781,0,0,319.5,292
2026-01-15T14:06:40,216.12,-106.46,485.973,760.5,746.599,255.022,714.542,0,0,1484.5,469
2026-01-15T14:06:40,256.658,-100.166,458.716,931.946,753.481,253.045,714.802,0,0,1237,506.5
2026-01-15T14:06:40,660.829,32.8416,965.56,755.449,820.126,1059.06,910.453,0,0,1094,338.5
2026-01-15T14:06:41,803.061,-114.749,937.721,949.265,741.507,1039.75,925.785,0,0,1628,800
2026-01-15T14:06:41,865.284,-239.275,1146.25,959.403,731.686,998.422,1157.22,0,0,1008.5,1561
2026-01-15T14:06:41,735.884,-207.551,1212.44,775.711,745.266,988.224,1169.2,0,0,2570.5,2196
2026-01-15T14:06:41,263.486,-109.133,459.49,940.802,737.925,262.157,716.497,0,0,1852,262.5
2026-01-15T14:06:41,272.732,-103.274,466.864,943.216,751.35,277.239,718.992,0,0,2557.5,555
2026-01-15T14:06:41,299.579,-157.684,686.723,784.703,739.023,376.311,945.842,0,0,1319.5,2679
2026-01-15T14:06:42,222.117,-61.4949,532.065,742.132,841.631,264.253,761.196,0,0,553,285
2026-01-15T14:06:42,183.95,-118.318,548.764,769.169,747.125,171.713,841.561,0,0,1807.5,254.5
2026-01-15T14:06:42,217.643,-103.469,489.684,766.509,753.829,254.108,720.715,0,0,2332,759
2026-01-15T14:06:42,208.986,-71.0625,556.351,756.872,833.218,223.155,822.145,0,0,2104.5,1712.5
2026-01-15T14:06:42,202.294,-80.5041,565.788,767.891,817.79,201.121,848.426,0,0,10524.5,4984
2026-01-15T14:06:42,320.664,-52.5903,612.807,779.89,847.6,443.894,797.285,0,0,10018,6192
2026-01-15T14:06:43,298,-54.336,589.963,853.611,860.714,348.948,837.482,0,0,11085.5,9140.5
2026-01-15T14:06:43,439.193,-77.2145,824.483,887.172,859.555,560.161,1103.02,0,0,1251.5,2286
2026-01-15T14:06:43,323.13,-35.8656,622.679,841.063,887.557,407.799,855.732,0,0,532.5,606
2026-01-15T14:06:43,85.7513,94.3553,1245.46,680.78,931.72,42.3457,1629.89,0,0,91,94
2026-01-15T14:06:43,290.752,-4.32977,744.043,553.5,903.5,530.586,878.448,0,0,32,49.5
